application,review,rating,clean_review,sentiment
Alodokter,Q kasih 3 bintang dlu blm tau pelayanannya bagai mna,3,q kasih 3 bintang dlu blm tau pelayanannya mna,negative
Alodokter,"Kalo dokter udah oke banget ramah ramah lagi, tapi saya hanya mengingatkan jangan pernah beli obat di apk atau aloshop nya mendingan lihat resep yang udah dikasih dokter trus beli di apotek terdekat ya, jangan sesekali beli obatnya lewat online saya sangat kecewa dari apotek nya bilang 2-4 hari datang eehhh malah sampe 6 hari gk dateng dateng yah keburu sembuh yang ada",1,kalo dokter udah oke banget ramah ramah beli obat apk aloshop nya mendingan lihat resep udah dikasih dokter trus beli apotek terdekat ya beli obatnya online kecewa apotek nya bilang 24 eehhh sampe 6 gk dateng dateng yah keburu sembuh,negative
Alodokter,"saya kira gratis rupanya berbayar.. 😅 baik langsung ke RS, pukesmas atau apotik",1,gratis berbayar langsung rs pukesmas apotik,negative
Halodoc,Agak lama respon nya jika melayani lebih dari satu sampe dr nya mengahiri apalagi jaringannya jelek,3,respon nya melayani sampe dr nya mengahiri jaringannya jelek,negative
Halodoc,Sayakasih bintang 2 dl ya,2,sayakasih bintang 2 dl ya,negative
Halodoc,"𝙪𝙙𝙖𝙝 𝙗𝙖𝙜𝙪𝙨 𝙖𝙥𝙠 𝙣𝙮𝙖 𝙗𝙖𝙧𝙪 𝙘𝙤𝙗𝙖 𝙠𝙞𝙧𝙖𝙞𝙣 𝙩𝙖𝙣𝙮𝙖 𝙩𝙖𝙣𝙮𝙖 𝙜𝙧𝙖𝙩𝙞𝙨 𝙩𝙚𝙧𝙣𝙮𝙖𝙩𝙖 𝙠𝙤𝙠 𝙗𝙖𝙮𝙖𝙧 𝙖𝙙𝙖 𝙮𝙜 30,35,40 𝙙𝙡𝙡",3,𝙪𝙙𝙖𝙝 𝙗𝙖𝙜𝙪𝙨 𝙖𝙥𝙠 𝙣𝙮𝙖 𝙗𝙖𝙧𝙪 𝙘𝙤𝙗𝙖 𝙠𝙞𝙧𝙖𝙞𝙣 𝙩𝙖𝙣𝙮𝙖 𝙩𝙖𝙣𝙮𝙖 𝙜𝙧𝙖𝙩𝙞𝙨 𝙩𝙚𝙧𝙣𝙮𝙖𝙩𝙖 𝙠𝙤𝙠 𝙗𝙖𝙮𝙖𝙧 𝙖𝙙𝙖 𝙮𝙜 303540 𝙙𝙡𝙡,negative
Alodokter,baik,4,,positive
Halodoc,Daerah cimanggis blm bisa pakai apk ini.. utk kedepan harap diperluas,4,daerah cimanggis blm pakai apk utk kedepan harap diperluas,positive
Alodokter,Semoga tdk ada mslh serius,4,semoga tdk mslh serius,positive
Alodokter,Good job,3,good job,negative
