application,review,rating
Alodokter,Q kasih 3 bintang dlu blm tau pelayanannya bagai mna,3
Alodokter,"Kalo dokter udah oke banget ramah ramah lagi, tapi saya hanya mengingatkan jangan pernah beli obat di apk atau aloshop nya mendingan lihat resep yang udah dikasih dokter trus beli di apotek terdekat ya, jangan sesekali beli obatnya lewat online saya sangat kecewa dari apotek nya bilang 2-4 hari datang eehhh malah sampe 6 hari gk dateng dateng yah keburu sembuh yang ada",1
Alodokter,"saya kira gratis rupanya berbayar.. 😅 baik langsung ke RS, pukesmas atau apotik",1
Halodoc,Agak lama respon nya jika melayani lebih dari satu sampe dr nya mengahiri apalagi jaringannya jelek,3
Halodoc,Sayakasih bintang 2 dl ya,2
Halodoc,"𝙪𝙙𝙖𝙝 𝙗𝙖𝙜𝙪𝙨 𝙖𝙥𝙠 𝙣𝙮𝙖 𝙗𝙖𝙧𝙪 𝙘𝙤𝙗𝙖 𝙠𝙞𝙧𝙖𝙞𝙣 𝙩𝙖𝙣𝙮𝙖 𝙩𝙖𝙣𝙮𝙖 𝙜𝙧𝙖𝙩𝙞𝙨 𝙩𝙚𝙧𝙣𝙮𝙖𝙩𝙖 𝙠𝙤𝙠 𝙗𝙖𝙮𝙖𝙧 𝙖𝙙𝙖 𝙮𝙜 30,35,40 𝙙𝙡𝙡",3
Alodokter,baik,4
Halodoc,Daerah cimanggis blm bisa pakai apk ini.. utk kedepan harap diperluas,4
Alodokter,Semoga tdk ada mslh serius,4
Alodokter,Good job,3
Halodoc,"Baru pertama kali nyoba konsultasi, tapi kecewa sekali bayar tapi ga dapet apa-apa, konsultasi cuma di baca ga di respond sama sekali sampai sesi konsul abis. Saya konsul ke dokter spesialis anak. dr. Maria priskila Sp. A. Ga profesional.",1
Halodoc,Tahukah kamu banyak orang yang butuh pertolongan di luar sana dan memiliki kendala finansial yang dimana seharusnya apk ini menjadi jawabannya malah justru harus mengeluarkan uang kamu tidak tahu berapa banyak orang yang memiliki depresi dan masalah mental lainnya namun finansial mereka pas pas an jadi mereka biarkan saja masalah mental mereka tidak kah itu begitu miris untuk di biarkan begitu saja,2
Halodoc,sangat membantu dan dokter nya sangat ramah,5
Halodoc,"Sesi konsultasi ternyata cm 30 menit, dokternya slow respon pula.. belom sampai dpt resep tpi sesi konsultasi sdah berakhir.. Kapok sih krna buang uang sia² gak dpt resep.. Kecewa pakai banget",1
Alodokter,"Aplikasi gak jelas lagi butuh banget malah dipersulit udah bayar malah disuru bayar lagi,mendingan dikasih bintang satu mau nya gk ada bintang nya gue kasih taik emg jangan dowload gaes nanti nyesel!!",1
Halodoc,Lumayan lah membantu,4
Alodokter,Maaf pernah sy download krn kita bebas bertanya dan gratis pula tapi sekarang tdk bisa gratis lagi😭😭,4
Alodokter,sangat membantu,5
Alodokter,Ok membantu sekali ilmu medis,3
Halodoc,Entah kenapa pas bagian isi identitas profil malah tdk bisa tersimpan/proses kirain wifi yg bermasalah tapi waktu saya ganti ke sinyal selular biasa tetap saja tdk bisa. Pdhl saya ingin segera konsul jadi tertunda2 deh😔 Oh ya saya mau tanya kalau dpt resep obat apakah harus dipesan lewat aps ini ya? Apa bisa obatnya ditebus sendiri? Ini khasusnya kalau rumahnya jauh dr kota dan gojek tdk bisa menjangkaunya. Trims.,2
Alodokter,"konsul ke dokter zaman skarang gak ada yang gratis, harus bayar.",1
Alodokter,Bagus detaile sampai selesai Terimakasih Alodokter sangat membantu,5
Halodoc,"Keterangan di aplikasi terkoneksi dengan asuransi, pas pembayaran di minta bayar mandiri. Buat apa saya masukan asuransi saya kalau ujung2 saya di minta bayar semua mandiri tidak terkoneksi asuransi.",1
Alodokter,"Saya saranin jangan download ini aplikasi coo, ga ada membatu sama sekali .. chat saja harus di bayar , jika ingin konsultasi mending ke layanan terdekat saja . Nyesal gw😬",1
Halodoc,"Paket saya ga sampe , tidak ada pertanggung jawabannya !!! --> thanks akhirnya dana saya diganti juga walaupun lama banget dan proses nya panjang",3
Alodokter,"Luama bgt mau Konsul ke dokter umum, tp bukan yg milih dokternya sendiri Estimasi 7 menit ini dibiarin nunggu ga jelas hampir setengah jam 😵‍💫",1
Alodokter,Konsultasi ? Mending ke chet gpt kayanya 🤦,1
Alodokter,Terbantu,2
Alodokter,"tidak ada note bahwa pengiriman diatas jam 15.00 diproses esok hari. Sudah hubungi cs dan sy saran kasih solusi kalau sy yg pick up lgsung aja, karna sy butuh cepat dan urgent tapi tetap disuruh menunggu, esok hari nya obat masih belum datang sampai siang, kalo app sebelah pengiriman 24jam, sy kira alodok sama juga ya yg mana notabene nya kesehatan itu harus gercep. Tks",1
Halodoc,Sangat bermanfaat,4
Alodokter,Lumayan bagus,4
Alodokter,dokternya baik jelas sekali penjelasannya,5
Halodoc,Sangat memudahkan kaum mager dan takut ke dokter.,4
Alodokter,Bagus,3
Halodoc,"Pengalaman pakai jasa dokter spkk di halodoc cukup membayar 57 ribu bisa konsul dengan berbagai dokter dalam waktu 30 menit. Saya kira hampir sama resepnya dengan dokter spkk yang saya temui. Hanya saja di halodoc sedikit buru2 dan sebagian pertanyaan belum terjawab karena chat langsung menutup setelah waktu selesai. Sementara waktu juga sedikit terbuang karena dokter bertanya berulang, juga memikirkan pertanyaan yg akan ditanyakan. Untuk biaya resep dan tebus obat dihalodoc sedikit mahal.",3
Halodoc,"Saran, ada penilaian atau evaluasi dari pasien.",4
Alodokter,ok,5
Halodoc,sangat membantu,5
Halodoc,Sangat bermanfaat & membantu masyarakat,5
Alodokter,sangat membantu,5
Alodokter,Kirain gratis ternyata berbayar,1
Alodokter,Mau chat aja harus bayar 🤣 ga melayani setulus hati namanya,1
Alodokter,Aplikasi cukup bagus membantu banget,3
Alodokter,Sya sngat terbantu dgn adanya aplikasinya,3
Halodoc,Ya lumayan pemberitahu informasi dari apk halodoc dari dokternya juga bagus terimakasih,4
Alodokter,"saya pikir buka aplikasi alodoc ini gratis untuk kita chat nanya2 keluhan aja , ternyata harus bayar ,kecewa banget 😓",1
Halodoc,Kok selalu update,1
Halodoc,"Kenapa pembayaran mesti pake uang elektronik ( gopay, link aja) sama kartu kredit sih ?? Jadi gak bisa lakuin pembayaran dan otomatis gak bisa Konsul. Auto hapus aplikasi 😩",2
Halodoc,Kurang jelas jwaban yg di berikan meskipun SDH panjang lebar dan di sertai hasil agar bisa di jlskan malah dapat jwaban kurang jelas .. Apa yg harus di hindari Apa yg bole di konsumsi ternyta hnya 1 smpaai 5 Kata saja di balas,1
Halodoc,so helpful dokternya..makasiiih halodoc,5
Alodokter,Respon shop/chate dokter kurang cepat,1
Halodoc,Biasalah,2
Halodoc,"Respon cepat. Tapi yang mengecewakan. SEBELUM SAYA CHAT DOKTER, TERTERA DISITU UNTUK BIAYA FREE. lalu kok disuruh BAYAR!! Gimana?!",2
Halodoc,Pelayanan mantab,4
Alodokter,Aplikasi tidak bagus,1
Halodoc,bagus,5
Halodoc,Kuereeeen,1
Alodokter,Kurang puas dg jawaban dokter,2
Halodoc,Apakah bisa setelah konsultasi dengan dokter spkj akan di berikan resep obat yg biasa saya gunakan oleh dokter pas waktu saya konsultasi langsung ke RS ? Maaf saya kasih 2 bintang dulu kalobisa dikasih ressep obat yg saya butuhkan saya kasih bintang 5,2
Alodokter,Kk apk nya lagi engk bisa dj buka ya?,5
Halodoc,"Tolong benerin aplikasinya, di bagian menu toko kesehatan di Android, suka bikin hang HP nya.",1
Halodoc,"obat yang diresepkan banyak yang tdk ada,",3
Halodoc,"Harusnya bintang 0 aja ga sih, udah bayar mahal dokter ga ada responnya, buang2 duit Tolong pengembalian dana nya",1
Alodokter,Ikutan chat dokter & uda bayar tapi lama gak dibales. Sampai 20 menit lebih. Saya ubah update profil karena tgl lahir & jenis kelamin salah malah keluar² terus dari aplikasi.,2
Alodokter,"Sebagai pengguna baru kesel sih pas daftar aakun d tahap gmail g mau masuk katanya coba cek email anda, email aku cuman 1 itu doang aku pake d apk lain tp d alodokter g mau masuk",2
Halodoc,1. Pembayaran tidak terverifilasi automatis...harus di konfirmasi oleh pasien (parah) 2. Proses check and richeck ada antrian (gila bener) 3. Nulis alamat pasien di paket salah..(mampus aja lu) jadi grab nya muter cari alamat yg benernya 4. Aplikasinya masih payah tidak terintegrasi dgn ekosistim terdekat 5. Pasien di jakarta timur..obat datang dari bekasi jauh banget emang gak ada apotik deket pasien yg sudah di itegrasikan,1
Halodoc,"Tolong kalau biaya kirim pake gosend yang jelas itu udah sama ongkos parkir atau belum, sebab saya ngerasa biasanya saya ga ada dipalak uang parkir,bukan masalah nominalnya tp ini karena pesan urgent utk obat sakit, dan cashless pake gopay biar cepat bisa diminum obatnya. Jadiny harus masuk lagi ambil uang dulu. Biasanya ga pernah dipalak uang parkir setau dan sepengalaman saya klo parkir ojol selalu dpt prioritas",2
Alodokter,"Dokter lama menjawab, kalau terlambat jawab sebentar pesan ditutup otomatis padahal sudah bayar.",1
Alodokter,Terima kasih,4
Halodoc,Gatau kurang puas aja sama dokternya kita kan cuman di kasih 30mnit ya dan waktu konsul tuh dokternya super lama banget jawabnya jadinya gk bener bener puas,1
Halodoc,Sangat membantu bagi aku yang introvert ini,5
Alodokter,okeh,5
Alodokter,Parah ini aplikasi bukannya membantu malah membebani para pengguna dgn chat aja pake bayar Rp.8.500. Maaf saya kasih bintang 1 karena g sesuai dengan kondisi pengguna.,1
Alodokter,"Baru download aplikasi ini dan registrasi, udah ditelp 3 nomor berbeda yg mengatasnamakan alodokter. Mohon diperhatikan keamanan data pribadi kami 🙏🏼",2
Alodokter,"baik, terimakasih dok😇",4
Halodoc,ok,5
Alodokter,Ko database cust Alodokter tidak aman banget yah?? Setiap abis download Alodokter pasti ditelfonin sama penipu.,3
Alodokter,"Udh aku uninstal , pas di update mau chat dokter jadi bayar 😌",3
Alodokter,"Sebelumnya saya minta maaf ya bila ada kekeliruan. Kenapa saldo saya otomatis kesedot 39.000 padahal saya tidak berlangganan dan dari pihak Alodokter tidak ada konfirmasi mengenai tagihan yang dikenakan. Bukan masalah seberapa besar tagihan otomatisnya, saya mau penjelasan kenapa saldo saya tiba² tersedot otomatis. Tolong penjelasannya, sebelumnya saya tidak tau aplikasi ini saya tau gara² ada ibu² yang menawarkan aplikasi ini seperti sales dan saya kalau setiap ada seperti itu saya bantu.",2
